num_vehicles,distance,fitness
21.0,1870.6937996225547,21.999659687912658
36.0,4110.265415889936,36.99984511468351
38.0,4351.333303412381,38.999853695472915
37.0,4528.3807274781875,37.99985941558355
38.0,4433.423114868244,38.99985640446556
36.0,4408.896709922869,36.999855605652996
42.0,4690.242442383755,42.99986426719502
39.0,4412.48716003703,39.99985572314697
34.0,4320.63829722992,34.99985265608523
41.0,4321.19146314013,41.99985267494708
41.0,4454.202227597964,41.99985707434707
38.0,4070.6231911586056,38.99984360631538
37.0,4172.27227928692,37.99984741653527
41.0,4384.433290944116,41.99985479998917
36.0,4130.730714492414,36.99984588204753
39.0,4508.722932379274,39.999858802642905
33.0,4098.734032871918,33.999844678929
37.0,4452.415692631779,37.99985701699805
37.0,4410.9773498759105,37.999855673763214
37.0,4483.903440286632,37.999858021081344
35.0,4238.416787657171,35.999849797744666
37.0,4334.998281866821,37.99985314417223
34.0,4272.750913412248,34.999851004710166
36.0,4451.784764979862,36.99985699673383
40.0,4384.849146417258,40.99985481375982
41.0,4503.075891022574,41.99985862557565
35.0,4385.023586844728,35.999854819535464
33.0,3336.134000315967,33.99980917440569
39.0,4516.861838413795,39.99985905706556
40.0,4409.307342343364,40.99985561910023
36.0,3471.725402217756,36.99981662727289
38.0,4144.046577569695,38.99984637726722
38.0,4308.088170416295,38.99985222684965
40.0,4423.651638021204,40.999856087275035
39.0,4394.9433570964675,39.999855147220416
40.0,4412.330856083228,40.99985571803606
37.0,4155.694499588808,37.99984680785362
36.0,4338.40930188632,36.99985325963578
34.0,4035.373533655467,34.999842240190645
34.0,4550.710223910412,34.999860105405354
39.0,4205.309933088694,39.99984861525773
37.0,4285.012354451413,37.99985143105594
32.0,4296.4228009258395,32.999851825625555
36.0,3645.264997923012,36.999825357070954
41.0,4372.410504947545,41.999854400733746
40.0,4452.1472580736145,40.999857008377134
37.0,3443.1137783489653,37.99981510348032
39.0,4630.326974994344,39.99986251084083
39.0,4710.1565710042,39.999864841061395
38.0,4223.657638130751,38.99984927287792
38.0,4208.237978295978,38.999848720589554
40.0,4433.202812140436,40.99985639732975
38.0,4332.126158512811,38.999853046809406
34.0,4219.099291757771,34.999849110031214
35.0,4369.483645373846,35.99985430320538
37.0,4646.277541463755,37.99986298283801
34.0,3551.080672411695,34.999820725065334
41.0,4218.8218821737655,41.99984910010941
36.0,4303.353496599467,36.99985206426537
40.0,4516.631068748794,40.99985904986432
35.0,4447.163659949466,35.999856848137306
41.0,4298.597640546629,41.99985190059314
40.0,4441.785046505765,40.999856674792916
34.0,3587.1549689413355,34.999822527947245
36.0,4267.634077392183,36.99985082606682
34.0,3986.195435501709,34.99984029389193
36.0,4056.5953505784305,36.99984306550088
37.0,4244.0384313430695,37.999849996702224
40.0,4494.115994846221,40.99985834371819
37.0,4301.771904422446,37.99985200987522
36.0,4225.889058426967,36.999849352467216
39.0,4621.986241272896,39.99986226273096
37.0,4576.402024063885,37.99986089076989
39.0,4326.033575799801,39.999852839847435
39.0,4336.853111765677,39.99985320698104
32.0,4354.216066908571,32.99985379233566
39.0,4204.280205363149,39.99984857818003
31.0,3292.506713789848,31.99980664587558
38.0,4481.423506750114,38.999857942512946
37.0,4397.258998572464,37.99985522350137
37.0,3633.1984523688893,37.999824777048474
32.0,3241.7707136691297,32.999803619747226
36.0,4075.7993588343033,36.99984380493161
35.0,4208.574718508,35.999848732693856
39.0,4474.548472275255,39.99985772424509
37.0,4378.426179510352,37.999854600777724
41.0,4510.47226019322,41.999858857404455
34.0,4233.993520510931,34.999849640827875
34.0,4175.43209392286,34.999847532004864
42.0,4391.713646257521,42.999855040694214
36.0,4337.909430303561,36.9998532427264
36.0,4064.2482142464505,36.99984336100406
34.0,4067.9379887028304,34.999843503081586
37.0,4105.462294827934,37.999844933477874
37.0,4383.0374347933375,37.99985475374765
34.0,4263.211677823791,34.99985067132275
36.0,4527.274659890321,36.999859381237094
36.0,4063.4846183253894,36.99984333156901
39.0,4283.080320769513,39.9998513640387
38.0,4458.019195820891,38.9998571967204
38.0,4179.022625787353,38.99984766300228
39.0,4453.735271512108,39.999857059361894
35.0,4445.735069712239,35.99985680213696
38.0,4367.810528686829,38.999854247395334
35.0,3716.4502111031493,35.999828702196766
35.0,3637.130846073356,35.99982496649605
41.0,4368.684179863269,41.999854276543
37.0,3522.274067133157,37.9998192588813
36.0,3354.5872422429948,36.999810224117745
38.0,4492.655799986167,38.99985829767732
39.0,4005.125917133697,39.99984104875295
33.0,4435.321411843088,33.999856465923784
36.0,4008.890435689909,36.99984119801492
38.0,4422.917066772829,38.999856063373585
36.0,4201.412949340062,36.999848474842146
38.0,4369.48602421268,38.99985430328471
40.0,4673.157687585412,40.9998637709649
40.0,4169.689488102198,40.99984732202194
36.0,4190.542725720093,36.999848081787505
36.0,4395.02315791664,36.999855149850525
33.0,4290.03472199784,33.99985160498642
35.0,3940.0910768202702,35.999838425115996
39.0,4578.228113904963,39.99986094625554
36.0,4387.1032629974225,36.99985488835726
34.0,4033.0070194545197,34.99984214761932
42.0,4579.452145482621,42.9998609834229
36.0,4394.127956143046,36.99985512034066
36.0,4257.550425769803,36.99985047276086
40.0,4285.755537546386,40.99985145681894
32.0,3905.376680922365,32.99983698889749
33.0,3008.1079040479335,33.99978836538807
35.0,4200.637245601074,35.99984844686101
37.0,4456.557317278965,37.99985714987683
35.0,4238.318635588563,35.99984979426624
37.0,4417.791174459783,37.99985589636623
33.0,3457.652968895426,33.9998158809573
36.0,4288.650287955734,36.999851557082515
40.0,4380.185392657262,40.99985465917439
38.0,4357.075193432263,38.99985388827759
37.0,4596.775086402004,37.999861507306676
37.0,4479.610704742033,37.99985788502534
30.0,3802.477382518238,30.999832577634617
40.0,4309.616108168424,40.99985227924136
39.0,4410.454781239813,39.99985565666285
34.0,4132.2761500563865,34.99984593968631
39.0,4444.105033399705,39.99985674961396
35.0,4244.7520168315195,35.999850021919286
40.0,4533.753341476611,40.99985958217969
38.0,4499.107448511972,38.99985850087619
33.0,3584.5720634453455,33.999822400067686
38.0,4378.395812900801,38.9998545997693
36.0,4229.665021105699,36.99984948695527
39.0,4599.943062389479,39.999861602686444
